zone_id,name,latitude,longitude,elevation_m,drainage_capacity_score,historical_flood_incidents,current_rainfall_mm
Z-001,Pune Sub-Zone 1,18.537131,73.799701,547.38,2,190,0.0
Z-002,Pune Sub-Zone 2,18.477145,73.808999,568.33,5,69,0.0
Z-003,Pune Sub-Zone 3,18.470833,73.847331,536.34,2,208,0.0
Z-004,Pune Sub-Zone 4,18.488319,73.868942,560.26,5,87,0.0
Z-005,Pune Sub-Zone 5,18.510742,73.850605,547.52,1,204,0.0
Z-006,Pune Sub-Zone 6,18.551457,73.815859,554.02,3,150,0.0
Z-007,Pune Sub-Zone 7,18.479058,73.911566,550.15,1,202,0.0
Z-008,Pune Sub-Zone 8,18.505991,73.839778,550.48,3,160,0.0
Z-009,Pune Sub-Zone 9,18.557255,73.884268,559.13,4,112,0.0
Z-010,Pune Sub-Zone 10,18.469856,73.831881,563.29,3,124,0.0
Z-011,Pune Sub-Zone 11,18.529682,73.881249,537.06,2,205,0.0
Z-012,Pune Sub-Zone 12,18.553168,73.914927,573.49,1,150,0.0
Z-013,Pune Sub-Zone 13,18.506015,73.851109,572.53,2,123,0.0
Z-014,Pune Sub-Zone 14,18.504822,73.821841,547.01,1,208,0.0
Z-015,Pune Sub-Zone 15,18.533496,73.817237,567.81,2,136,0.0
Z-016,Pune Sub-Zone 16,18.515871,73.829094,576.64,5,61,0.0
Z-017,Pune Sub-Zone 17,18.486754,73.835614,569.57,1,158,0.0
Z-018,Pune Sub-Zone 18,18.487886,73.800552,549.2,3,159,0.0
Z-019,Pune Sub-Zone 19,18.468343,73.906276,560.52,3,130,0.0
Z-020,Pune Sub-Zone 20,18.485915,73.856608,574.81,4,77,0.0
Z-021,Pune Sub-Zone 21,18.477545,73.813456,568.52,5,69,0.0
Z-022,Pune Sub-Zone 22,18.491929,73.86685,575.4,4,79,0.0
Z-023,Pune Sub-Zone 23,18.50384,73.916379,541.22,4,151,0.0
Z-024,Pune Sub-Zone 24,18.471309,73.802354,539.93,2,202,0.0
Z-025,Pune Sub-Zone 25,18.55545,73.847359,537.86,4,161,0.0
Z-026,Pune Sub-Zone 26,18.531907,73.852866,546.31,5,116,0.0
Z-027,Pune Sub-Zone 27,18.563694,73.798078,567.43,5,70,0.0
Z-028,Pune Sub-Zone 28,18.550505,73.888932,550.31,3,155,0.0
Z-029,Pune Sub-Zone 29,18.512572,73.851147,577.92,3,96,0.0
Z-030,Pune Sub-Zone 30,18.577027,73.888135,557.85,1,186,0.0
Z-031,Pune Sub-Zone 31,18.564862,73.832513,563.75,5,80,0.0
Z-032,Pune Sub-Zone 32,18.484269,73.84157,542.27,5,129,0.0
Z-033,Pune Sub-Zone 33,18.570619,73.868573,556.99,1,188,0.0
Z-034,Pune Sub-Zone 34,18.571892,73.902147,572.42,3,101,0.0
Z-035,Pune Sub-Zone 35,18.489134,73.825605,560.53,1,183,0.0
Z-036,Pune Sub-Zone 36,18.470678,73.855019,538.11,5,136,0.0
Z-037,Pune Sub-Zone 37,18.5523,73.812107,556.39,5,93,0.0
Z-038,Pune Sub-Zone 38,18.480215,73.860021,562.3,2,156,0.0
Z-039,Pune Sub-Zone 39,18.57187,73.887332,566.04,3,119,0.0
Z-040,Pune Sub-Zone 40,18.508279,73.877302,551.8,5,105,0.0
Z-041,Pune Sub-Zone 41,18.514578,73.826449,537.88,1,219,0.0
Z-042,Pune Sub-Zone 42,18.530997,73.824314,544.91,1,213,0.0
Z-043,Pune Sub-Zone 43,18.545341,73.803765,538.03,1,218,0.0
Z-044,Pune Sub-Zone 44,18.563556,73.805203,545.71,4,142,0.0
Z-045,Pune Sub-Zone 45,18.486108,73.812577,577.1,5,64,0.0
